DATE,d,TNK,TRT,TotEggs,femwt,#FEM,eggs/fem,Eggs_gFem,#fert,#vbl,#fert/fem,#vbl/fem,#fert/gfem,#vbl/gfem,PctFert,PctVBL
07/28/09,1,1,0.3mg/kg,9396,59.9,2,4698,156.8614357,4171.5,931.5,2085.75,465.75,69.64106845,15.5509182,88.79310345,19.82758621
07/29/09,2,1,0.3mg/kg,6177.333333,59.9,2,3088.666667,103.1274346,2975.666667,1431.333333,1487.833333,715.6666667,49.67723984,23.89538119,96.34146341,46.34146341
07/30/09,3,1,0.3mg/kg,4290,59.9,2,2145,71.61936561,1971.666667,780,985.8333333,390,32.91597106,13.02170284,91.91919192,36.36363636
07/31/09,4,1,0.3mg/kg,4123.666667,59.9,2,2061.833333,68.8425153,1830.166667,764.5,915.0833333,382.25,30.55370061,12.76293823,88.76404494,37.07865169
08/01/09,5,1,0.3mg/kg,4640,59.9,2,2320,77.4624374,660,280,330,140,11.01836394,4.674457429,28.44827586,12.06896552
08/02/09,6,1,0.3mg/kg,5782,58,2,2891,99.68965517,413,265.5,206.5,132.75,7.120689655,4.577586207,14.28571429,9.183673469
08/03/09,7,1,0.3mg/kg,2016,59.9,2,1008,33.65609349,882,462,441,231,14.7245409,7.712854758,87.5,45.83333333
08/04/09,8,1,0.3mg/kg,2989.333333,59.9,2,1494.666667,49.90539789,1190.666667,380,595.3333333,190,19.87757373,6.343906511,79.66101695,25.42372881
08/05/09,9,1,0.3mg/kg,2417.333333,59.9,2,1208.666667,40.35614914,865.6666667,343,432.8333333,171.5,14.45186422,5.726210351,71.62162162,28.37837838
08/06/09,10,1,0.3mg/kg,2683.666667,59.9,2,1341.833333,44.80244853,1277.166667,630.5,638.5833333,315.25,21.32164719,10.52587646,95.18072289,46.98795181
08/07/09,11,1,0.3mg/kg,1386.666667,58,2,693.3333333,23.90804598,595.8333333,260,297.9166667,130,10.27298851,4.482758621,85.9375,37.5
08/08/09,12,1,0.3mg/kg,2101.666667,58,2,1050.833333,36.23563218,953.8333333,371.8333333,476.9166667,185.9166667,16.4454023,6.41091954,90.76923077,35.38461538
08/09/09,13,1,0.3mg/kg,2361.333333,58,2,1180.666667,40.71264368,1012,674.6666667,506,337.3333333,17.44827586,11.63218391,85.71428571,57.14285714
08/10/09,14,1,0.3mg/kg,1963.333333,58,2,981.6666667,33.85057471,791.6666667,364.1666667,395.8333333,182.0833333,13.64942529,6.278735632,80.64516129,37.09677419
08/11/09,15,1,0.3mg/kg,2240,59.3,2,1120,37.77403035,784,544,392,272,13.22091062,9.173693086,70,48.57142857
08/12/09,16,1,0.3mg/kg,3388,59.3,2,1694,57.13322091,1372,560,686,280,23.13659359,9.443507589,80.99173554,33.05785124
08/13/09,17,1,0.3mg/kg,3660,59.3,2,1830,61.72006745,1515,645,757.5,322.5,25.54806071,10.87689713,82.78688525,35.24590164
08/14/09,18,1,0.3mg/kg,3680,59.3,2,1840,62.05733558,1573.333333,600,786.6666667,300,26.53175942,10.11804384,85.50724638,32.60869565
08/15/09,19,1,0.3mg/kg,4917,59,2,2458.5,83.33898305,2211,742.5,1105.5,371.25,37.47457627,12.58474576,89.93288591,30.20134228
08/16/09,20,1,0.3mg/kg,5510,59,2,2755,93.38983051,2679,1691,1339.5,845.5,45.40677966,28.66101695,97.24137931,61.37931034
08/17/09,21,1,0.3mg/kg,3857,59,2,1928.5,65.37288136,1551.5,696,775.75,348,26.29661017,11.79661017,80.45112782,36.09022556
08/18/09,22,1,0.3mg/kg,4033.333333,59,2,2016.666667,68.36158192,1700,616.6666667,850,308.3333333,28.81355932,10.4519774,84.29752066,30.5785124
08/19/09,23,1,0.3mg/kg,4859,59,2,2429.5,82.3559322,666.5,193.5,333.25,96.75,11.29661017,3.279661017,27.43362832,7.96460177
08/20/09,24,1,0.3mg/kg,4154,55.6,2,2077,74.71223022,1209,418.5,604.5,209.25,21.74460432,7.526978417,58.20895522,20.14925373
07/28/09,1,2,control,4442.666667,75.8,2,2221.333333,58.61037819,1586.666667,476,793.3333333,238,20.93227792,6.279683377,71.42857143,21.42857143
07/29/09,2,2,control,10708.33333,75.8,2,5354.166667,141.2708883,0,0,0,0,0,0,0,0
07/30/09,3,2,control,1749.333333,75.8,2,874.6666667,23.07827617,405.3333333,170.6666667,202.6666667,85.33333333,5.347405453,2.251539138,46.34146341,19.51219512
07/31/09,4,2,control,2195.333333,75.8,2,1097.666667,28.96218118,12.33333333,12.33333333,6.166666667,6.166666667,0.162708883,0.162708883,1.123595506,1.123595506
08/01/09,5,2,control,1667.333333,75.8,2,833.6666667,21.99648197,284.6666667,142.3333333,142.3333333,71.16666667,3.755496922,1.877748461,34.14634146,17.07317073
08/02/09,6,2,control,2975,75.8,2,1487.5,39.24802111,758.3333333,379.1666667,379.1666667,189.5833333,10.00439754,5.002198769,50.98039216,25.49019608
08/03/09,7,2,control,7783,75.8,2,3891.5,102.6781003,512.8333333,150.8333333,256.4166667,75.41666667,6.765611258,1.989885664,13.17829457,3.875968992
08/04/09,8,2,control,4529.333333,75.8,2,2264.666667,59.75373791,605.6666667,210.6666667,302.8333333,105.3333333,7.990325418,2.779243624,26.74418605,9.302325581
08/05/09,9,2,control,2604,75.8,2,1302,34.35356201,966,441,483,220.5,12.74406332,5.817941953,74.19354839,33.87096774
08/06/09,10,2,control,2538,75.8,2,1269,33.4828496,15.66666667,15.66666667,7.833333333,7.833333333,0.206684257,0.206684257,1.234567901,1.234567901
08/07/09,11,2,control,2178,74.8,2,1089,29.11764706,585,234,292.5,117,7.820855615,3.128342246,53.71900826,21.48760331
08/08/09,12,2,control,2190.666667,74.8,2,1095.333333,29.28698752,477,212,238.5,106,6.377005348,2.834224599,43.5483871,19.35483871
08/09/09,13,2,control,1940,74.8,2,970,25.93582888,937.6666667,662.8333333,468.8333333,331.4166667,12.53565062,8.8614082,96.66666667,68.33333333
08/10/09,15,2,control,1487.333333,74.8,2,743.6666667,19.88413547,129.3333333,80.83333333,64.66666667,40.41666667,1.729055258,1.080659537,17.39130435,10.86956522
08/11/09,14,2,control,2036.666667,74.6,2,1018.333333,27.30116175,705,391.6666667,352.5,195.8333333,9.450402145,5.250223414,69.23076923,38.46153846
08/12/09,16,2,control,4661.333333,74.6,2,2330.666667,62.48436104,843.3333333,398.6666667,421.6666667,199.3333333,11.30473637,5.344057194,36.18421053,17.10526316
08/13/09,17,2,control,3621.333333,74.6,2,1810.666667,48.54334227,549.6666667,274.8333333,274.8333333,137.4166667,7.36818588,3.68409294,30.35714286,15.17857143
08/14/09,18,2,control,1798,74.6,2,899,24.10187668,609,261,304.5,130.5,8.163538874,3.498659517,67.74193548,29.03225806
08/15/09,19,2,control,2723.333333,77,2,1361.666667,35.36796537,1218.333333,473,609.1666667,236.5,15.82251082,6.142857143,89.47368421,34.73684211
08/16/09,20,2,control,1076.666667,77,2,538.3333333,13.98268398,0,0,0,0,0,0,0,0
08/17/09,21,2,control,9610.666667,77,2,4805.333333,124.8138528,1496,725.3333333,748,362.6666667,19.42857143,9.41991342,31.13207547,15.09433962
08/18/09,22,2,control,4108.333333,77,2,2054.166667,53.35497835,1685.833333,694.1666667,842.9166667,347.0833333,21.89393939,9.015151515,82.06896552,33.79310345
08/19/09,23,2,control,4692,76.8,2,2346,61.09375,1717.333333,858.6666667,858.6666667,429.3333333,22.36111111,11.18055556,73.20261438,36.60130719
08/20/09,24,2,control,3492,75.4,2,1746,46.31299735,565.8333333,291,282.9166667,145.5,7.504420866,3.859416446,32.40740741,16.66666667
07/28/09,1,3,0.3mg/kg,4066.666667,67.2,2,2033.333333,60.51587302,1700,600,850,300,25.29761905,8.928571429,83.60655738,29.50819672
07/29/09,2,3,0.3mg/kg,2516,67.2,2,1258,37.44047619,937.3333333,296,468.6666667,148,13.9484127,4.404761905,74.50980392,23.52941176
07/30/09,3,3,0.3mg/kg,2604,67.2,2,1302,38.75,1095.333333,454.6666667,547.6666667,227.3333333,16.29960317,6.765873016,84.12698413,34.92063492
07/31/09,4,3,0.3mg/kg,2750,67.2,2,1375,40.92261905,1075,425,537.5,212.5,15.99702381,6.324404762,78.18181818,30.90909091
08/01/09,5,3,0.3mg/kg,2911,67.2,2,1455.5,43.31845238,0,0,0,0,0,0,0,0
08/02/09,6,3,0.3mg/kg,3952,67.2,2,1976,58.80952381,1118,494,559,247,16.63690476,7.351190476,56.57894737,25
08/03/09,7,3,0.3mg/kg,4776.333333,67.2,2,2388.166667,71.07638889,860.3333333,341.1666667,430.1666667,170.5833333,12.80257937,5.076884921,36.02484472,14.28571429
08/04/09,8,3,0.3mg/kg,4546.666667,66.4,2,2273.333333,68.47389558,77.5,51.66666667,38.75,25.83333333,1.167168675,0.77811245,3.409090909,2.272727273
08/05/09,9,3,0.3mg/kg,3066.666667,66.4,2,1533.333333,46.18473896,1233.333333,416.6666667,616.6666667,208.3333333,18.57429719,6.275100402,80.43478261,27.17391304
08/06/09,10,3,0.3mg/kg,1986.333333,66.4,2,993.1666667,29.91465863,202,117.8333333,101,58.91666667,3.042168675,1.774598394,20.33898305,11.86440678
08/07/09,11,3,0.3mg/kg,1054.666667,66.4,2,527.3333333,15.88353414,56.5,18.83333333,28.25,9.416666667,0.850903614,0.283634538,10.71428571,3.571428571
08/08/09,12,3,0.3mg/kg,1942.666667,66.4,2,971.3333333,29.25702811,156.6666667,47,78.33333333,23.5,2.359437751,0.707831325,16.12903226,4.838709677
08/09/09,13,3,0.3mg/kg,2851.333333,66.4,2,1425.666667,42.94176707,454.3333333,282,227.1666667,141,6.842369478,4.246987952,31.86813187,19.78021978
08/10/09,15,3,0.3mg/kg,3299.333333,66.4,2,1649.666667,49.68875502,1178.333333,673.3333333,589.1666667,336.6666667,17.74598394,10.14056225,71.42857143,40.81632653
08/11/09,14,3,0.3mg/kg,2691.666667,67.8,2,1345.833333,39.70009833,920.8333333,396.6666667,460.4166667,198.3333333,13.58161259,5.850540806,68.42105263,29.47368421
08/12/09,16,3,0.3mg/kg,4922,67.8,2,2461,72.59587021,253,115,126.5,57.5,3.731563422,1.696165192,10.28037383,4.672897196
08/13/09,17,3,0.3mg/kg,5916,67.8,2,2958,87.25663717,638,174,319,87,9.410029499,2.566371681,21.56862745,5.882352941
08/14/09,18,3,0.3mg/kg,4449.333333,67.8,2,2224.666667,65.62438545,360.3333333,141,180.1666667,70.5,5.314650934,2.079646018,16.1971831,6.338028169
