DATE,d,TNK,TRT,TotEggs,femwt,#FEM,eggs/fem,Eggs_gFem,#fert,#vbl,#fert/fem,#vbl/fem,#fert/gfem,#vbl/gfem,PctFert,PctVBL
06/08/10,1,1,control,7955,92.5,2,3977.5,86,1110.833333,465.8333333,555.4166667,232.9166667,12.00900901,5.036036036,27.92792793,11.71171171
06/09/10,2,1,control,10410.66667,92.5,2,5205.333333,112.5477477,1621.333333,1152,810.6666667,576,17.52792793,12.45405405,31.14754098,22.13114754
06/10/10,3,1,control,5903.333333,92.5,2,2951.666667,63.81981982,885.5,337.3333333,442.75,168.6666667,9.572972973,3.646846847,30,11.42857143
06/11/10,4,1,control,2620,92.5,2,1310,28.32432432,786,305.6666667,393,152.8333333,8.497297297,3.304504505,60,23.33333333
06/12/10,5,1,control,9621.666667,92.5,2,4810.833333,104.018018,1798.833333,794.8333333,899.4166667,397.4166667,19.44684685,8.592792793,37.39130435,16.52173913
06/13/10,6,1,control,8833.333333,92.5,2,4416.666667,95.4954955,1625,875,812.5,437.5,17.56756757,9.459459459,36.79245283,19.81132075
06/14/10,7,1,control,2938,92.5,2,1469,31.76216216,979.3333333,715.6666667,489.6666667,357.8333333,10.58738739,7.736936937,66.66666667,48.71794872
06/15/10,8,1,control,1573,92.5,2,786.5,17.00540541,452.8333333,333.6666667,226.4166667,166.8333333,4.895495495,3.607207207,57.57575758,42.42424242
06/16/10,9,1,control,2153.333333,92.5,2,1076.666667,23.27927928,728.3333333,538.3333333,364.1666667,269.1666667,7.873873874,5.81981982,67.64705882,50
06/17/10,10,1,control,11462.33333,92.5,2,5731.166667,123.9171171,41.83333333,41.83333333,20.91666667,20.91666667,0.452252252,0.452252252,0.729927007,0.729927007
06/18/10,11,1,control,5351.666667,86,2,2675.833333,62.22868217,169,84.5,84.5,42.25,1.965116279,0.98255814,6.315789474,3.157894737
06/19/10,12,1,control,1621.333333,86,2,810.6666667,18.85271318,266.6666667,170.6666667,133.3333333,85.33333333,3.100775194,1.984496124,32.89473684,21.05263158
06/20/10,13,1,control,3509.333333,86,2,1754.666667,40.80620155,282,188,141,94,3.279069767,2.186046512,16.07142857,10.71428571
06/21/10,14,1,control,1473.333333,86,2,736.6666667,17.13178295,255,198.3333333,127.5,99.16666667,2.965116279,2.30620155,34.61538462,26.92307692
06/22/10,15,1,control,3135,84.3,2,1567.5,37.1886121,0,0,0,0,0,0,0,0
06/23/10,16,1,control,336,84.3,2,168,3.985765125,0,0,0,0,0,0,0,0
06/24/10,17,1,control,276,84.3,2,138,3.274021352,0,0,0,0,0,0,0,0
06/25/10,18,1,control,540,84.3,2,270,6.40569395,0,0,0,0,0,0,0,0
06/26/10,19,1,control,5102.666667,85.9,2,2551.333333,59.4024059,802.6666667,759.6666667,401.3333333,379.8333333,9.344198681,8.843616608,31.46067416,29.7752809
06/27/10,20,1,control,6890,85.9,2,3445,80.20954598,208,169,104,84.5,2.421420256,1.967403958,6.037735849,4.905660377
06/28/10,21,1,control,566.6666667,85.9,2,283.3333333,6.596818005,0,0,0,0,0,0,0,0
06/29/10,22,1,control,8106.666667,85.9,2,4053.333333,94.37330229,456,228,228,114,5.308498254,2.654249127,11.25,5.625
06/30/10,23,1,control,2277.333333,85.9,2,1138.666667,26.51144742,122,61,61,30.5,1.420256112,0.710128056,10.71428571,5.357142857
07/01/10,24,1,control,396.6666667,83.8,2,198.3333333,4.733492442,46.66666667,17.5,23.33333333,8.75,0.556881464,0.208830549,23.52941176,8.823529412
06/08/10,1,2,0.75ug/kg,11440,73.6,2,5720,155.4347826,4387.5,910,2193.75,455,59.61277174,12.36413043,76.70454545,15.90909091
06/09/10,2,2,0.75ug/kg,8720,73.6,2,4360,118.4782609,3120,1040,1560,520,42.39130435,14.13043478,71.55963303,23.85321101
06/10/10,3,2,0.75ug/kg,6423.333333,73.6,2,3211.666667,87.27355072,2467.5,1175,1233.75,587.5,33.52581522,15.96467391,76.82926829,36.58536585
06/11/10,4,2,0.75ug/kg,7520,73.6,2,3760,102.173913,3008,1253.333333,1504,626.6666667,40.86956522,17.02898551,80,33.33333333
06/12/10,5,2,0.75ug/kg,6104,73.6,2,3052,82.93478261,1962,617.6666667,981,308.8333333,26.6576087,8.392210145,64.28571429,20.23809524
06/13/10,6,2,0.75ug/kg,5669.666667,73.6,2,2834.833333,77.03351449,1048.5,233,524.25,116.5,14.24592391,3.16576087,36.98630137,8.219178082
06/14/10,7,2,0.75ug/kg,4993.666667,73.6,2,2496.833333,67.84873188,1652.833333,984.6666667,826.4166667,492.3333333,22.45697464,13.37862319,66.1971831,39.43661972
06/15/10,8,2,0.75ug/kg,4956,73.6,2,2478,67.33695652,1534,737.5,767,368.75,20.8423913,10.02038043,61.9047619,29.76190476
06/16/10,9,2,0.75ug/kg,3528,73.6,2,1764,47.93478261,1296,432,648,216,17.60869565,5.869565217,73.46938776,24.48979592
06/17/10,10,2,0.75ug/kg,5280.333333,73.6,2,2640.166667,71.74365942,1663.666667,506.3333333,831.8333333,253.1666667,22.60416667,6.879528986,63.01369863,19.17808219
06/18/10,11,2,0.75ug/kg,4762.666667,72.6,2,2381.333333,65.60146924,1317.333333,557.3333333,658.6666667,278.6666667,18.14508724,7.676767677,55.31914894,23.40425532
06/19/10,12,2,0.75ug/kg,6939.666667,72.6,2,3469.833333,95.58769513,3119.666667,1496.166667,1559.833333,748.0833333,42.97061524,20.60835629,89.90825688,43.11926606
06/20/10,13,2,0.75ug/kg,4427,72.6,2,2213.5,60.97796143,776.6666667,427.1666667,388.3333333,213.5833333,10.69788797,5.883838384,35.0877193,19.29824561
06/21/10,14,2,0.75ug/kg,5148,72.6,2,2574,70.90909091,1188,627,594,313.5,16.36363636,8.636363636,46.15384615,24.35897436
